KIC,Kp,T_eff,T_eff err,Power,Power err,nu_max,nu_max err,logg,logg err
7552212,11.711,5761,163,20.801941,5.658945,1081.023146,179.754717,3.981274,0.072215
7552265,10.788,6717,180,90.199475,4.60373,433.934254,27.083704,3.618202,0.027106
7552750,12.287,5236,153,174.46738,10.873778,429.081033,26.71422,3.559229,0.027039
7552875,12.945,5288,156,5.662768,24.963134,2246.017037,4885.739726,4.280249,0.944717
7552911,12.979,5767,174,29.618741,203.85992,909.281481,3075.020525,3.906364,1.468703
7581081,12.669,6140,169,35.159277,61.223115,773.84867,682.294244,3.849931,0.382913
7581214,12.561,4779,80,15785.22896,5256.856408,52.845575,9.437355,2.629867,0.077558
7581399,11.49,5025,80,4093.526837,467.197696,96.737376,6.983311,2.903353,0.031351
7581425,12.155,5368,151,403.294011,46.760734,277.767359,24.417027,3.375778,0.038176
7581686,12.609,6180,179,43.200614,14.722307,694.302202,140.972145,3.804233,0.08818
7581822,12.005,4748,80,2024.756634,127.585687,144.320647,6.83241,3.064774,0.02056
7581950,12.804,5160,152,249.935827,46.865365,366.061484,44.987966,3.487069,0.053374
7581970,10.962,6257,165,14.172184,14.480075,1174.468481,623.751786,4.035215,0.230651
7582143,12.541,6467,179,35.863873,58.427379,715.80967,593.592262,3.827339,0.360143
7582687,12.565,5704,162,9.427168,13.552999,1607.225988,1177.505972,4.151357,0.318178
7582689,11.973,6004,80,24.106951,21.502534,956.445192,430.651582,3.937071,0.195547
7582910,12.265,6475,176,17.253857,19.335613,1019.829962,593.007413,3.981338,0.252532
7583949,12.816,6260,172,13.635736,30.488095,1195.954515,1342.718027,4.043192,0.48759
7583971,13.06,5266,153,319.237287,47.350003,317.888791,33.079124,3.430206,0.045192
7584122,11.687,4886,80,608.590337,31.873226,251.509408,10.606122,3.312221,0.018314
7584336,13.316,6063,177,76.222001,34.510191,539.891417,138.777842,3.690841,0.111634
7584900,11.301,4886,80,383.569118,26.629673,314.775138,15.883258,3.409667,0.021914
7585107,12.65,4937,145,34297.839017,17038.929392,35.064078,9.529205,2.458784,0.118026
7585206,12.117,5533,158,48.744682,31.274606,749.48958,258.47394,3.813436,0.149774
7585696,9.578,5015,142,22414.27338,2370.86682,42.421019,3.439497,2.544907,0.035213
7585737,11.099,6023,163,6.445353,1.935819,1808.832338,325.661266,4.214495,0.07819
7585811,12.625,6013,170,11.780448,14.725332,1352.069289,869.493586,4.087735,0.279288
7585921,12.613,5996,169,7.05174,15.242843,1741.27618,1890.962553,4.196989,0.471628
7586384,12.02,5261,152,139.979619,17.577918,475.075272,44.083768,3.604487,0.0403
7586546,13.451,5256,151,150.413284,44.639869,459.24094,80.735081,3.589559,0.076349
7587058,12.943,6380,178,28.808294,30.321995,810.839831,444.979722,3.878536,0.238336
7587099,12.097,4871,80,40706.762033,33734.297838,32.710563,13.722726,2.425687,0.182195
7587323,12.263,4978,144,608.054613,25.874396,246.826976,12.530925,3.30811,0.022048
7587763,10.889,4961,144,38044.426414,3838.717726,33.174185,2.625034,2.435775,0.034365
7587773,12.671,4873,145,21357.829913,3125.788311,44.735965,4.537585,2.561745,0.044051
7587899,12.566,6275,170,14.890293,13.958032,1142.284144,561.028473,4.023771,0.213302
7588155,12.226,4743,138,23964.104475,5491.376474,43.46575,6.094428,2.543364,0.060893
7588209,12.735,5068,152,23705.010937,17001.59673,40.827557,15.529437,2.530562,0.165191
7588236,11.173,5908,159,4.619081,2.827919,2178.519328,720.648851,4.291072,0.143664
7588436,12.845,6320,80,8.236977,26.028258,1508.949105,2342.842099,4.146223,0.674299
7590688,10.92,5645,152,2.300374,1.505434,3229.853519,1129.961134,4.452205,0.151938
7590922,13.179,4947,147,35455.047151,10198.7086,34.431053,5.871455,2.451312,0.074059
7591451,12.747,4761,80,3544.856365,277.750809,109.629228,6.007486,2.945966,0.023799
7591604,12.187,6644,183,73.357333,7.840739,487.165547,43.935038,3.666082,0.039167
7591772,12.436,6314,171,9.881156,11.386504,1382.931866,824.000275,4.108143,0.258768
7591963,11.55,5830,80,23.365162,2.93603,1007.036754,78.338864,3.95307,0.033784
7592262,12.106,5062,100,291.668958,18.75235,346.617018,18.073542,3.459201,0.022645
7592529,11.649,5894,80,5.569703,3.075954,1994.92409,568.849394,4.252322,0.123838
7592707,12.646,6448,181,2.096827,15.000708,2856.80552,10041.949844,4.427784,1.526587
7592730,13.374,5236,152,383.739753,456.021398,292.516045,178.251125,3.39284,0.264647
7592977,11.883,6212,168,2.683756,4.508426,2661.93588,2266.98409,4.389004,0.369858
7593075,13.448,5077,100,37905.280075,8073.994732,32.437593,4.036061,2.431043,0.054037
7593620,12.464,6526,184,1.735921,12.18473,3080.89012,10629.647001,4.46319,1.498397
7593951,12.316,6590,186,10.740619,9.34159,1253.580904,578.663249,4.074785,0.200474
7594337,11.596,4802,80,5304.683765,347.110368,89.354417,4.335391,2.859017,0.021072
7594865,11.959,4896,100,149655.462805,17508.330243,17.281768,1.343778,2.149699,0.033769
7595178,12.607,5289,150,69.843861,14.54022,662.188222,87.758079,3.749859,0.057556
7595572,11.027,4895,100,13957.539837,982.86353,54.759512,3.01833,2.650526,0.023938
7595722,13.009,4961,100,688.553759,48.15735,233.179361,12.798579,3.282665,0.023837
7595971,11.93,6433,176,2.627365,6.090271,2568.19605,2988.011058,4.381025,0.505287
7596443,13.289,4810,100,23993.348011,8639.859342,42.836164,8.392454,2.540073,0.085087
7596639,11.835,6321,80,20.852601,4.255707,960.529213,111.336505,3.950094,0.05034
7596701,12.162,4787,100,29697.644576,4402.442353,38.803693,3.606685,2.496095,0.040366
7596724,12.077,5388,80,86.022778,7.649791,586.161741,35.133349,3.700922,0.026031
7597230,11.921,4873,100,30271.244791,9474.265798,37.759968,6.533197,2.48812,0.075141
7597446,11.415,5807,80,3.363523,2.264487,2595.887382,892.864701,4.363452,0.149377
7597640,13.364,5213,157,1933.98886,124.551745,133.911851,8.584266,3.052553,0.02784
7597855,12.643,6597,186,2.52072,14.855323,2532.181813,7351.824282,4.380358,1.260911
7598321,11.151,5699,80,10.588668,1.880332,1520.56139,156.660871,4.127094,0.044745
7598436,12.376,6874,195,4.919796,10.334885,1726.627207,1833.32462,4.222994,0.461132
7598659,12.312,6212,169,26.758752,9.542896,870.477269,181.62542,3.903563,0.090616
7601617,12.58,4782,80,31003.646596,6846.741133,38.04012,4.719024,2.487237,0.053876
7601720,10.969,4683,80,123743.273457,42592.186595,19.817506,3.646718,2.199501,0.079917
7601803,11.071,6290,167,172.580323,27.338654,346.099919,38.724265,3.505717,0.048592
7602732,12.625,4661,80,35657.255009,13048.020249,36.450181,7.092387,2.46313,0.084504
7603344,12.849,6560,191,32.6184,19.737045,735.160848,245.554354,3.842025,0.145061
